unix_timestamp,time_since_midnight,distance,relative_time_us,relative_time_ms,relative_time_s
1748135020.271,72220.271,3.85,610857518,610857.518,0.0
1748135020.286,72220.286,3.85,610872644,610872.644,0.015126000000009299
1748135020.301,72220.301,3.85,610887812,610887.812,0.030294000000026244
1748135020.316,72220.316,3.85,610903208,610903.208,0.04568999999992229
1748135020.331,72220.331,3.72,610918179,610918.179,0.06066099999998187
1748135020.347,72220.347,3.72,610933413,610933.413,0.07589499999994587
1748135020.362,72220.362,3.85,610948386,610948.386,0.09086800000000039
1748135020.377,72220.377,3.85,610963484,610963.484,0.1059659999999667
1748135020.392,72220.392,3.85,610978501,610978.501,0.12098300000002382
1748135020.407,72220.407,3.85,610993466,610993.466,0.13594799999998486
1748135020.422,72220.422,3.85,611008435,611008.435,0.1509169999999358
1748135020.437,72220.437,3.85,611023446,611023.446,0.16592800000000807
1748135020.452,72220.452,3.85,611038379,611038.379,0.1808609999999362
1748135020.467,72220.467,3.85,611053437,611053.437,0.1959190000000035
1748135020.482,72220.482,3.85,611068412,611068.412,0.2108939999999393
1748135020.497,72220.497,3.85,611083465,611083.465,0.22594700000001922
1748135020.512,72220.512,3.81,611099080,611099.08,0.24156199999993078
1748135020.527,72220.527,3.81,611114168,611114.168,0.25664999999992233
1748135020.542,72220.542,4.76,611129261,611129.261,0.27174300000001494
1748135020.557,72220.557,3.02,611144233,611144.233,0.2867149999999583
1748135020.573,72220.573,5.11,611159468,611159.468,0.3019499999999198
1748135020.588,72220.588,4.52,611174452,611174.452,0.31693399999994654
1748135020.603,72220.603,4.87,611189423,611189.423,0.3319050000000061
1748135020.618,72220.618,8.35,611204694,611204.694,0.3471759999999904
1748135020.633,72220.633,8.66,611220201,611220.201,0.36268299999994724
1748135020.649,72220.649,8.57,611235689,611235.689,0.3781709999999521
1748135020.664,72220.664,8.66,611251338,611251.338,0.39382000000000517
1748135020.68,72220.68,7.19,611266873,611266.873,0.409355000000005
1748135020.695,72220.695,7.96,611282194,611282.194,0.42467599999997674
1748135020.711,72220.711,8.57,611297572,611297.572,0.44005399999991823
1748135020.726,72220.726,9.41,611312956,611312.956,0.45543799999995827
1748135020.742,72220.742,10.01,611328625,611328.625,0.47110699999996086
1748135020.757,72220.757,10.87,611344055,611344.055,0.48653699999999844
1748135020.773,72220.773,12.21,611359506,611359.506,0.501987999999983
1748135020.788,72220.788,12.56,611375073,611375.073,0.5175550000000158
1748135020.804,72220.804,14.02,611390617,611390.617,0.5330989999999929
